name,address,type,opened,closed,Borough
Fire House,"99 Wooster St, New York, NY 10012",activist dances,,,Manhattan
The Snake Pit,"215 W 10th St, New York, NY 10014",after hours bar,1970,1971,Manhattan
Serendipity General Store,"225 E 60th St, New York, NY 10022",after hours malt shop,,,Manhattan
The Camp,"W 69th St & Columbus Ave, New York, NY 10023",after hours place,,,Manhattan
Club Impressions,"1558 3rd Ave, New York, NY 10128",after-hours private club,,,Manhattan
Bar Room 432,"432 W 14th St, New York, NY 10014",bar,1990,1996,Manhattan
Blue's,"264 W 43rd St, New York, NY 10036",bar,1980,1985,Manhattan
Henrietta Hudson,"438-444 Hudson St, New York, NY 10014",bar,1991,2024,Manhattan
Cubby hole,"281 W 12th St, New York, NY 10014",bar,1983,1990,Manhattan
Cubbyhole,"281 W 12th St, New York, NY 10014",bar,1994,2024,Manhattan
Julius',"159 W 10th St, New York, NY 10014",bar,1930,2024,Manhattan
Kooky's,"149 W 14th St, New York, NY 10011",bar,1965,1973,Manhattan
Ramrod,"394-395 West St, New York, NY 10014",bar,1973,1980,Manhattan
Uncle Charlie's,"56 Greenwich Ave, New York, NY 10011",bar,1980,1997,Manhattan
Bonnie & Clyde's,"82 W 3rd St, New York, NY 10012",bar,1972,1981,Manhattan
Menemsha Bar,"132 E 57th St, New York, NY 10022",bar,,,Manhattan
Twenty Nine,"129 Lexington Ave, New York, NY 10016",bar,,,Manhattan
New Danny's St Sheridan SG,"140 Sheridan Square, New York, NY 10014",bar,,,Manhattan
Tamburlane,"148 W 48th St, New York, NY 10036",bar,,,Manhattan
Three,"314 E 72nd St, New York, NY 10021",bar,,,Manhattan
Willie's West Side,"224 W 82nd St, New York, NY 10024",bar,,,Manhattan
Alibi,"1544 2nd Ave, New York, NY 10028",bar,,,Manhattan
Britt Top,"1716 2nd Ave, New York, NY 10128",bar,,,Manhattan
The Wine Cellar,"531 Hudson St, New York, NY 10014",bar,,,Manhattan
Finale,"48 Barrow St, New York, NY 10014",bar,,,Manhattan
GoldDiggers,"1234 2nd Ave, New York, NY 10065",bar,,,Manhattan
Heller's,"384 West St, New York, NY 10014",bar,,,Manhattan
The Lib ,"305 E 45th St, New York, NY 10017",bar,,,Manhattan
Leo's Lion,"57 Lexington Ave, New York, NY 10016",bar,,,Manhattan
Loading Zone,"568 9th Ave, New York, NY 10036",bar,,,Manhattan
Piper's Lounge,"1201 Lexington Ave, New York, NY 10028",bar,,,Manhattan
Roadhouse,"570 Hudson St, New York, NY 10014",bar,,,Manhattan
Squires: Nook,"18 E 13th St, New York, NY 10003",bar,,,Manhattan
Sugarman,"350 E 81st St, New York, NY 10028",bar,,,Manhattan
12th Night,"281 W 12th St, New York, NY 10014",bar,,,Manhattan
Westsider Bar,"2160 Broadway, New York, NY 10023",bar,,,Manhattan
Brothers And Sisters,"355 W 46th St, New York, NY 10036",bar,,,Manhattan
Better Days,"315 W 49th St, New York, NY 10019",bar,,,Manhattan
Charlie's Also,"1154 1st Ave, New York, NY 10065",bar,1972,,Manhattan
Danny's Bar In The Hideaway Motel,"500 W 14th St, New York, NY 10014",bar,,,Manhattan
Dirty Edna's Scoreboard,"264 W 46th St, New York, NY 10036",bar,,,Manhattan
Fiddle Stix,"1487 1st Ave, New York, NY 10075",bar,,,Manhattan
Howie's Hide-A-Way,"185 W 10th St, New York, NY 10014",bar,,,Manhattan
Marie's Crisis,"59 Grove St, New York, NY 10014",bar,,,Manhattan
New Jimmy's Super Club,"1576 3rd Ave, New York, NY 10128",bar,,,Manhattan
Sammy's Folly,"73 5th Ave, New York, NY 10003",bar,,,Manhattan
The Turn-Over,"105 W 13th St, New York, NY 10011",bar,,,Manhattan
The Barn,"232 Park Ave S, New York, NY 10003",bar,,,Manhattan
The Cabaret,"1436 3rd Ave, New York, NY 10028",bar,,,Manhattan
Godmother,"309 E 60th St, New York, NY 10022",bar,,,Manhattan
Meat Rack,"500 W 14th St, New York, NY 10014",bar,,,Manhattan
Mona's Royal Roost,"28 Cornelia St, New York, NY 10014",bar,,,Manhattan
Outcast,"1382 2nd Ave, New York, NY 10021",bar,,,Manhattan
Pegasus,"145 E 23rd St, New York, NY 10010",bar,,,Manhattan
Penny Lane,"220 W 49th St, New York, NY 10019",bar,,,Manhattan
Regent of Tokyo,"251 W 53rd St, New York, NY 10019",bar,,,Manhattan
Siro's,"58 E 53rd St, New York, NY 10022",bar,,,Manhattan
Sugar's,"183 W 10th St, New York, NY 10014",bar,,,Manhattan
Taggariss House,"108 E 41st St, New York, NY 10168",bar,,,Manhattan
Walter's Apartment,"1068 2nd Ave, New York, NY 10022",bar,,,Manhattan
The Copabanana,"59 Lexington Ave, New York, NY 10016",bar,,,Manhattan
Dutchess Inn,"70 Grove St, New York, NY 10014",bar,,,Manhattan
Frizby's,"531 Hudson St, New York, NY 10014",bar,,,Manhattan
The Ginza,"40 E 58th St, New York, NY 10022",bar,,,Manhattan
Jonnathans,"547 2nd Ave, New York, NY 10016",bar,,,Manhattan
John's Joynt,"1154 1st Ave., New York, NY 10065",bar,,,Manhattan
Judy's ,"255 West 43rd St, New York, NY 10036",bar,,,Manhattan
Lodge East,"1683 1st Ave, New York, NY 10128",bar,,,Manhattan
Pelican Club,"200 W 70th St, New York, NY 10023",bar,,,Manhattan
Ruby Foo,"240 W 52nd St, New York, NY 10019",bar,,,Manhattan
Something Special,"262 W 46th St, New York, NY 10036",bar,,,Manhattan
Bleeker Street,"302 Bleecker St, New York, NY 10014",bar,,,Manhattan
Hollywood!,"128 W 45th St, New York, NY 10036",bar,,,Manhattan
My Sister's Place,"2056 Broadway, New York, NY 10023",bar,,,Manhattan
The New Camp,"311 E 60th St, New York, NY 10022",bar,,,Manhattan
Shadows,"255 West 43rd St, New York, NY 10036",bar,,,Manhattan
Le Joint,"120 W 51st St, New York, NY 10019",bar,,,Manhattan
Mothers ,"267 W 23rd St, New York, NY 10011",bar,,,Manhattan
Rocco's,"139 E 34th St, New York, NY 10016",bar,,,Manhattan
Speakeasy,"2160 Broadway, New York, NY 10023",bar,,,Manhattan
Summer Stock,"232 Park Ave S, New York, NY 10003",bar,,,Manhattan
Top Banana,"858 9th Ave, New York, NY 10019",bar,,,Manhattan
Turn Table,"114 W 45th St, New York, NY 10036",bar,,,Manhattan
Angora Bar,"129 8th Ave, New York, NY 10011",bar,,,Manhattan
Bull in the Bush,"1638 2nd Ave, New York, NY 10028",bar,,,Manhattan
Chairman,"360 Lexington Ave, New York, NY 10017",bar,,,Manhattan
Ginger Bread,"232 Park Ave S, New York, NY 10003",bar,,,Manhattan
Gypsy's,"1065 1st Ave., New York, NY 10022",bar,,,Manhattan
Huey's on Hudson,"432 Hudson St, New York, NY 10014",bar,,,Manhattan
Jack of Diamonds,"1085 2nd Ave, New York, NY 10022",bar,,,Manhattan
Paisleys,"320 E 79th St, New York, NY 10075",bar,,,Manhattan
Ronnie's Roost,"2130 Broadway, New York, NY 10023",bar,,,Manhattan
Seesaw,"185 W 10th St, New York, NY 10014",bar,,,Manhattan
Top of the Pits,"230 W 74th St, New York, NY 10023",bar,,,Manhattan
Alex in Wonderland,"40 10th Ave, New York, NY 10014",bar,,,Manhattan
Centre Bar,"29 St Marks Pl, New York, NY 10003",bar,,,Manhattan
8 Christopher St. Tavern,"8 Christopher St, New York, NY 10014",bar,,,Manhattan
J's,"675 Hudson St, New York, NY 10014",bar,,,Manhattan
Last Resort,"153 1st Ave, New York, NY 10003",bar,,,Manhattan
Round-Up,"438 Hudson St, New York, NY 10014",bar,,,Manhattan
Dallas,"243 E 53rd St, New York, NY 10022",bar,,,Manhattan
GH Club,"353 E 53rd St, New York, NY 10022",bar,,,Manhattan
Razzle Dazzle,"1485 3rd Ave, New York, NY 10028",bar,,,Manhattan
Candle II,"168 Amsterdam Ave, New York, NY 10023",bar,,,Manhattan
Jaspers,"305 Columbus Ave, New York, NY 10023",bar,,,Manhattan
O'Neill's Backyard,"231 W 48th St, New York, NY 10036",bar,,,Manhattan
96 West,"168 W 96th St, New York, NY 10025",bar,,,Manhattan
Janice's Fish Place,"570 Hudson St, New York, NY 10014",bar,,,Manhattan
New Deal,"152 Spring St, New York, NY 10012",bar,,,Manhattan
Night Wing,"118 Greenwich Ave, New York, NY 10011",bar,,,Manhattan
Tempust Fugit,"178 2nd Ave, New York, NY 10003",bar,,,Manhattan
The Big Dish,"283 W 12th St, New York, NY 10014",bar,,,Manhattan
Uncle Charlie's Downtown,"56 Greenwich Ave, New York, NY 10011",bar,,,Manhattan
Village Stix,"139 Christopher St, New York, NY 10014",bar,,,Manhattan
Maneuvers,"208 W 23rd St, New York, NY 10011",bar,,,Manhattan
Pipeline,"232 8th Ave, New York, NY 10011",bar,,,Manhattan
17th St Saloon,"143 8th Ave, New York, NY 10011",bar,,,Manhattan
Candle Bar,"309 10th Ave, New York, NY 10001",bar,,,Manhattan
The Garden Club,"244 E 51st St, New York, NY 10022",bar,,,Manhattan
Ariel,"53 W 19th St, New York, NY 10011",bar,,,Manhattan
Phoenix,"73 8th Ave, New York, NY 10014",bar,,,Manhattan
The Stable,"400 W 14th St, New York, NY 10014",bar,,,Manhattan
Union Club,"110 E 14th St, New York, NY 10003",bar,,,Manhattan
Zips ,"636 Hudson St, New York, NY 10014",bar,,,Manhattan
Chaps,"176 E 87th St, New York, NY 10028",bar,,,Manhattan
Daddy's,"238 3rd Ave, New York, NY 10003",bar,,,Manhattan
La Bamba,"192 2nd Ave, New York, NY 10003",bar,,,Manhattan
Le Bar,"243 E 53rd St, New York, NY 10022",bar,,,Manhattan
Nightingale,"213 2nd Ave, New York, NY 10003",bar,,,Manhattan
Knight Deposit,"938 Amsterdam Ave, New York, NY 10025",bar,,,Manhattan
Billy's Chelsea Bar,"232 8th Ave, New York, NY 10011",bar,,,Manhattan
Bucks,"324 Amsterdam Ave, New York, NY 10023",bar,,,Manhattan
Peeches Three,"314 E 72nd St, New York, NY 10021",bar,,,Manhattan
TR's,"248 E 52nd St, New York, NY 10022",bar,,,Manhattan
Bullet Bar,"372 W 11th St, New York, NY 10014",bar,,,Manhattan
4/12 Bar,"281 W 12th St, New York, NY 10014",bar,,,Manhattan
Sticky Fingers,"87 Christopher St, New York, NY 10014",bar,,,Manhattan
La Bar,"243 E 53rd St, New York, NY 10022",bar,,,Manhattan
Sapphire Bar,"957 1st Ave., New York, NY 10022",bar,,,Manhattan
Midtown 43,"127 West 43rd St, New York, NY 10036",bar,,,Manhattan
Oh Johnny,"248 W 14th St, New York, NY 10011",bar,,,Manhattan
Tracks,"531 W 19th St, New York, NY 10011",bar,,,Manhattan
Trix,"234 W 50th St, New York, NY 10019",bar,,,Manhattan
Gas Station,"80 Grove St, New York, NY 10014",bar,,,Manhattan
Joe Allen's,"352 W 46th St, New York, NY 10036",bar,,,Manhattan
Fabric Factory,"200 W 40th St, New York, NY 10018",Bar,,,Manhattan
Nite Life/La Femme,"85 Washington Pl, New York, NY 10011",bar,,,Manhattan
Starlite Lounge,"1084 Bergen St, Brooklyn, NY 11216",bar,1962,2010,Brooklyn
Gracie's Mansion,"80 Clark Street Brooklyn, NY 11201",bar,,,Brooklyn
Monte Casino,"185 Montague St Brooklyn, NY 11201",bar,,,Brooklyn
Monte's of Henry Street,"404 Henry St Brooklyn, NY 11201",bar,,,Brooklyn
New Atlantis,"Stillwell Ave, Brooklyn, NY 11214",bar,,,Brooklyn
Outside Inn,"82-20 Baxter Ave Elmhurst, NY 11373",bar,,,Brooklyn
Tradition,"82 83rd St Brooklyn, NY 11209",bar,,,Brooklyn
Come On,"8813 Foster Ave Brooklyn, NY 11236",bar,,,Brooklyn
Uno's Café,"1051 Allerton Ave. Bronx, NY 10469",bar,,,Bronx
Beat Goes East,"601 Morris Park Ave, Bronx, NY 10460",bar,1973,,Bronx
Chez Bippy,"2207 Boller Ave, Bronx, NY 10475",bar,,,Bronx
Bum Bum Bar,"63-14 Roosevelt Ave, Flushing, NY 11377",bar,1990,2019,Queens
Our Place,"7702 Broadway, Elmhurst, NY 11373",bar,1980,1985,Queens
60-05 Club,"60-5 Metropolitan Ave Ridgewood, NY 11385",bar,,,Queens
Fountain Blue,"69-05 Queens Blvd Woodside, NY 11377",bar,,,Queens
Fireside,"30-5 Astoria Blvd Astoria, NY 11102",bar,,,Queens
Three Jolly Pigeons,"37-21 Greenpoint Ave Queens, NY 11101",bar,,,Queens
The Alley,"63-02 Roosevelt Ave Flushing, NY 11377",bar,,,Queens
Sombrero,"253-32 Northern Blvd Flushing, NY 11362",bar,,,Queens
What A Dump,"76-07 Roosevelt Ave Jackson Heights, NY 11372",bar,,,Queens
The Square Lemon,"135-06 Northern Blvd Flushing, NY 11354",bar,,,Queens
The Octagon,"73-13 37th Rd Jackson Heights, NY 11372",bar,,,Queens
Freidas Hideaway,"81-36 Baxter Ave Elmhurst, NY 11373",bar,,,Queens
Studio 88,"86-30 Roosevelt Ave Elmhurst, NY 11373",bar,,,Queens
Kathy's,"130-06 Atlantic Ave South Richmond Hill, NY 11419",bar,,,Queens
"Manhattan, A Bar","76-13 Roosevelt Ave Jackson Heights, NY 11372",bar,,,Queens
Love Boat,"7702 Broadway Elmhurst, NY 11373",bar,,,Queens
Beach Haven Bar,"901 Father Capodanno Blvd, Staten Island, NY 10305",bar,1963,1985,Staten Island
Bill Bailey's,"492 Bay St, Staten Island, NY 10304",bar,1972,1983,Staten Island
Mother Earth,"381 Van Duzer St, Staten Island, NY 10304",bar,1976,1982,Staten Island
Charade  ,"1800 2nd Ave, New York, NY 10128",bar ,,,Manhattan
Dirty Edna's ,"264 W 46th St, New York, NY 10036",bar ,,,Manhattan
Lighthouse,"2160 Broadway, New York, NY 10023",bar ,,,Manhattan
Mark East,"313 E 46th St, New York, NY 10017",bar ,,,Manhattan
Stud (International),"731 Greenwich St, New York, NY 10014",bar ,,,Manhattan
Grapevine,"161 W 47th St, New York, NY 10036",bar/cabaret,,,Manhattan
Rant,"115 Christopher St, New York, NY 10014",bar/club,,,Manhattan
Big Apple,"3338 Broadway, New York, NY 10031",bar/club,,,Manhattan
Red Rooster,"2374 7th Ave, New York, NY 10030",bar/club,,,Manhattan
Spectrum,"802 64th St Brooklyn, NY 11220",bar/disco,,,Brooklyn
Crissy T Chaps,"7507 New Utrecht Ave Brooklyn, NY 11214",bar/disco,,,Brooklyn
Hatfield's,"126- 10 Queens Blvd Richmond Hill, NY 11418",bar/disco,,,Queens
Magic Touch,"73-13 37th Rd Jackson Heights, NY 11372",bar/disco,,,Queens
Sunset Boulevard,"112-01 Queens Blvd Forest Hills, NY 11375",bar/disco,,,Queens
The Gas Station,"70 Grove St, New York, NY 10014",bar/disco  ,,,Manhattan
Mayfair Bar & Grill,"3 Hyatt St, Staten Island, NY 10301",bar/restaurant,1952,1979,Staten Island
Buddy-Buddy Club,"1400 Clove Rd, Staten Island, NY 10301",bar/restaurant,1965,1976,Staten Island
Browne and Ferri,"396 Van Duzer St, Staten Island, NY 10304",bar/restaurant,1983,1995,Staten Island
Sandpiper,"86 Mills Ave, Staten Island, NY 10305",bar/restaurant,1950,1988,Staten Island
Carmine's,"86 Mills Ave, Staten Island, NY 10305",bar/restaurant,1950,1988,Staten Island
Bonampak Mexican Restaurant,"235 E 53rd St, New York, NY 10022",bar/resturant,,,Manhattan
Caroline's,"332 8th Ave, New York, NY 10001",bar/resturant,,,Manhattan
Christopher's,"115 Christopher St, New York, NY 10014",bar/resturant,,,Manhattan
Claire Restaurant,"156 7th Ave, New York, NY 10011",bar/resturant,,,Manhattan
Eighty Eight's,"228 W 10th St, New York, NY 10014",bar/resturant,,,Manhattan
Mayfair,"964 1st Ave, New York, NY 10022",bar/resturant,,,Manhattan
Potbelly Stove,"94 Christopher St, New York, NY 10014",bar/resturant,,,Manhattan
Rounds,"303 E 53rd St, New York, NY 10022",bar/resturant,,,Manhattan
Sebastian's,"1068 1st Ave., New York, NY 10022",bar/resturant,,,Manhattan
Singles,"951 1st Ave., New York, NY 10022",bar/resturant,,,Manhattan
Sundowner's,"309 E 60th St, New York, NY 10022",bar/resturant,,,Manhattan
Hornblower's on Horatio,"59 Horatio St, New York, NY 10014",bar/resturant,,,Manhattan
Red Star Café,"400 W 12th St, New York, NY 10014",bar/resturant,,,Manhattan
Blue Fox,"131 8th Ave, New York, NY 10011",bar/resturant,,,Manhattan
McFeeley's,"565 W 23rd St, New York, NY 10011",bar/resturant,,,Manhattan
Café Society,"43 E 20th St, New York, NY 10003",bar/resturant,,,Manhattan
Farnies,"18 2nd Ave, New York, NY 10003",bar/resturant,,,Manhattan
La Stanza,"953 1st Ave., New York, NY 10022",bar/resturant,,,Manhattan
Twenty Nine Palms,"129 Lexington Ave, New York, NY 10016",bar/resturant,,,Manhattan
Yorks,"710 2nd Ave, New York, NY 10016",bar/resturant,,,Manhattan
Peeches n Creem,"408 E 64th St, New York, NY 10065",bar/resturant,,,Manhattan
Cahoots,"81 Columbus Ave, New York, NY 10023",bar/resturant,,,Manhattan
Rockinhorse,"224 Columbus Ave, New York, NY 10023",bar/resturant,,,Manhattan
22 St. Saloon,"565 W 23rd St, New York, NY 10011",bar/resturant,,,Manhattan
Andre's Bar,"2321 Frederick Douglass Blvd, New York, NY 10027",bar/resturant,,,Manhattan
23 St Saloon,"565 W 23rd St, New York, NY 10011",bar/resturant,,,Manhattan
East 53,"244 E 53rd St, New York, NY 10022",bar/resturant,,,Manhattan
Panache,"149 E 57th St, New York, NY 10022",bar/resturant,,,Manhattan
Chequers,"311 W 48th St, New York, NY 10019",bar/resturant,,,Manhattan
Breadstix,"113-24 Queens Blvd Forest Hills, NY 11375",bar/resturant,,,Queens
II Gigolo,"78-17 Roosevelt Ave Flushing, NY 11372",bar/resturant,,,Queens
Ox Cart,"78-11 Roosevelt Ave Jackson Heights, NY 11372",bar/resturant,,,Queens
Starz,"836 Grand Blvd Westbury, NY 11590",bar/resturant,,,Queens
Su-Su's Yum Yum,"60 Henry St Brooklyn, NY 11201",bar/resturant ,,,Brooklyn
Waldo's,"151 Montague St Brooklyn, NY 11201",bar/resturant ,,,Brooklyn
Censi's,"5 Front St Brooklyn, NY 11201",bar/resturant ,,,Brooklyn
Freddy's,"308 E 49th St, New York, NY 10017",bar/resturant/cabaret,,,Manhattan
New St. Marks Baths,"6 St Marks Pl, New York, NY 10003",bath,1979,1985,Manhattan
Club Baths,"24 1st Ave, New York, NY 10009",bath,,,Manhattan
Wall Street Sauna,"1 Maiden Ln, New York, NY 10038",bath,,,Manhattan
Broadway Arms,"218 W 49th St, New York, NY 10019",bath,,,Manhattan
Eastside Sauna,"227 E 56th St, New York, NY 10022",bath,,,Manhattan
42nd Street Barracks,"226 W 42nd St, New York, NY 10036",bath,,,Manhattan
Suana Bath & Health Club,"18 W 58th St, New York, NY 10019",bath,,,Manhattan
Continental Sauna,"111 W 56th St, New York, NY 10019",bath,,,Manhattan
Barracks,"226 W 42nd St, New York, NY 10036",bath,,,Manhattan
New Saint Marks ,"6 St Marks Pl, New York, NY 10003",bath,,,Manhattan
Claret Baths,"1415 Riegelmann Boardwalk, Brooklyn, NY 11224",bath,,,Brooklyn
Stauch's Baths,"2534 W 15th St, Brooklyn, NY 11214",bath,,,Brooklyn
Northern Men's Sauna,"137-08 Northern Blvd, Flushing, NY 11354",bath,,,Queens
Man's Country,"28 W 15th St, New York, NY 10011",bath/gym/fantasy rooms,,,Manhattan
Everard Baths,"28 W 28th St, New York, NY 10001",baths,1888,1986,Manhattan
Paths Untrodden Book Service,,book,,,Manhattan
Priapus Books & Films,"111 E 12th St, New York, NY 10003",book/sex shop,,,Manhattan
Christopher Street Book Shop,"500 Hudson St, New York, NY 10014",bookstore,,,Manhattan
Djuna Books,"154 W 10th St, New York, NY 10014",bookstore,1977,1982,Manhattan
Oscar Wilde Memorial Book Store,"15 Christopher St, New York, NY 10014",bookstore,1967,2009,Manhattan
Madison Card & Book Shop,"123 E 57th St, New York, NY 10022",bookstore,,,Manhattan
It's a Man's World,"287 Amsterdam Ave, New York, NY 10023",bookstore,,,Manhattan
Les Hommes Book Store,"217 W 80th St, New York, NY 10024",bookstore,,,Manhattan
Womanbooks,"201 W 92nd St, New York, NY 10025",bookstore,1975,1987,Manhattan
A Different Light,"548 Hudson St, New York, NY 10014",bookstore,,,Manhattan
Judith's Room,"681 Washington St, New York, NY 10014",bookstore,,,Manhattan
Midtown Bookstore,"318 W 42nd St, New York, NY 10036",bookstore,,,Manhattan
Ansonia Books,"170 W 74th St, New York, NY 10023",bookstore,,,Manhattan
Black Jack Books,"210 W 42nd St, New York, NY 10036",bookstore,,,Manhattan
Community Book Stores,"162 Montague St, Brooklyn, NY 11201",bookstore,1971,2024,Brooklyn
Jaybird Books,"408 Jay St, Brooklyn, NY 11201",bookstore,,,Brooklyn
Pandora Books,"88 Court St, Brooklyn, NY 11201",bookstore,,,Brooklyn
Adult Fair Cinema,"90-18 Astoria Blvd, East Elmhurst, NY 11369",bookstore,,,Queens
Royal Roost,"154 W 13th St, New York, NY 10011",cabaret,,,Manhattan
55th Street Playhouse,"7th Ave & W 55th St, New York, NY 10105",cinema,,,Manhattan
